,#,When,Who,Problem,Lang,Verdict,Time,Memory
145,60461368,Sep/12/2019 23:50,friedrich_hayek,B - Letters Rearranging,GNU C11,Wrong answer on test 3,280 ms,0 KB
146,59482846,Aug/25/2019 19:33,friedrich_hayek,A - Mashmokh and Lights,GNU C11,Accepted,31 ms,0 KB
147,59406938,Aug/24/2019 17:16,friedrich_hayek,A - There Are Two Types Of Burgers,GNU C11,Accepted,15 ms,0 KB
148,59239102,Aug/21/2019 21:45,friedrich_hayek,B - Borze,GNU C11,Accepted,62 ms,0 KB
149,59192835,Aug/21/2019 01:49,friedrich_hayek,A - Amusing Joke,GNU C11,Accepted,60 ms,0 KB
150,59192458,Aug/21/2019 01:23,friedrich_hayek,A - Choose Two Numbers,GNU C11,Accepted,31 ms,0 KB
151,59112656,Aug/20/2019 01:12,friedrich_hayek,A - Right-Left Cipher,GNU C11,Accepted,31 ms,0 KB
152,58926418,Aug/16/2019 22:46,friedrich_hayek,A - Maximum Increase,GNU C11,Accepted,31 ms,0 KB
153,58925913,Aug/16/2019 22:29,friedrich_hayek,A - Rewards,GNU C11,Accepted,31 ms,0 KB
154,58925832,Aug/16/2019 22:26,friedrich_hayek,A - Rewards,GNU C11,Wrong answer on test 5,15 ms,0 KB
155,58905178,Aug/16/2019 13:48,friedrich_hayek,A - Circle Line,GNU C11,Accepted,60 ms,0 KB
156,58904828,Aug/16/2019 13:38,friedrich_hayek,A - Friends Meeting,GNU C11,Accepted,31 ms,0 KB
157,58878296,Aug/15/2019 22:10,friedrich_hayek,A - Sereja and Mugs,GNU C11,Accepted,31 ms,0 KB
158,58877791,Aug/15/2019 21:52,friedrich_hayek,B - Reversing Encryption,GNU C11,Accepted,31 ms,0 KB
159,58877220,Aug/15/2019 21:34,friedrich_hayek,A - Elevator or Stairs?,GNU C11,Accepted,31 ms,0 KB
160,58871082,Aug/15/2019 18:28,friedrich_hayek,B - Sale,GNU C11,Accepted,62 ms,0 KB
161,58870549,Aug/15/2019 18:13,friedrich_hayek,A - System of Equations,GNU C11,Accepted,62 ms,0 KB
162,58869950,Aug/15/2019 17:57,friedrich_hayek,A - Helpful Maths,GNU C11,Accepted,62 ms,0 KB
163,58861285,Aug/15/2019 14:43,friedrich_hayek,A - Silent Classroom,GNU C11,Wrong answer on test 11,15 ms,0 KB
164,58836761,Aug/15/2019 00:37,friedrich_hayek,B - Cover Points,GNU C11,Accepted,46 ms,0 KB
165,58780030,Aug/13/2019 22:05,friedrich_hayek,A - Nearest Interesting Number,GNU C11,Accepted,31 ms,0 KB
166,58779189,Aug/13/2019 21:46,friedrich_hayek,A - Hungry Student Problem,GNU C11,Accepted,30 ms,0 KB
167,58778551,Aug/13/2019 21:33,friedrich_hayek,A - Chips,GNU C11,Accepted,62 ms,0 KB
168,58777872,Aug/13/2019 21:19,friedrich_hayek,A - Coder,GNU C11,Time limit exceeded on test 10,1000 ms,0 KB
169,58684893,Aug/13/2019 00:42,friedrich_hayek,A - Lunch Rush,GNU C11,Accepted,62 ms,0 KB
170,58684674,Aug/13/2019 00:28,friedrich_hayek,A - Rounding,GNU C11,Accepted,31 ms,0 KB
171,58684210,Aug/13/2019 00:02,friedrich_hayek,A - Insomnia cure,GNU C11,Accepted,62 ms,0 KB
172,58683903,Aug/12/2019 23:46,friedrich_hayek,A - Quirky Quantifiers,GNU C11,Accepted,31 ms,0 KB
173,58630544,Aug/11/2019 22:33,friedrich_hayek,A - Vasya and Chocolate,GNU C11,Runtime error on test 2,15 ms,0 KB
174,58630194,Aug/11/2019 22:22,friedrich_hayek,A - Splitting into digits,GNU C11,Accepted,31 ms,0 KB
175,58630132,Aug/11/2019 22:20,friedrich_hayek,A - Splitting into digits,GNU C11,Wrong answer on test 4,15 ms,0 KB
176,58575582,Aug/11/2019 15:13,friedrich_hayek,A - Chores,GNU C11,Accepted,31 ms,0 KB
177,58575136,Aug/11/2019 15:02,friedrich_hayek,A - Summer Camp,GNU C11,Accepted,31 ms,0 KB
178,58551466,Aug/10/2019 23:15,friedrich_hayek,A - Divide it!,GNU C11,Accepted,31 ms,0 KB
179,58551085,Aug/10/2019 22:57,friedrich_hayek,A - Little C Loves 3 I,GNU C11,Accepted,31 ms,0 KB
180,58550926,Aug/10/2019 22:50,friedrich_hayek,A - Two distinct points,GNU C11,Accepted,31 ms,0 KB
181,58550906,Aug/10/2019 22:49,friedrich_hayek,A - Two distinct points,GNU C11,Wrong answer on test 2,15 ms,0 KB
182,58193712,Aug/03/2019 00:36,friedrich_hayek,B - Borze,GNU C11,Wrong answer on test 4,30 ms,0 KB
